"","latitude","longitude","name","cuisine","price","rating","review_count","neighborhood","borough"
"86",40.7309471231405,-74.0041171779098,"Rafele Ristorante","italian","$$$",4,437,"West Village","Manhattan"
"87",40.7425771,-73.9800892,"Bistango","italian","$$",4,666,"Kips Bay","Manhattan"
"88",40.7268483205383,-73.9887172038649,"Frank","italian","$$",3.5,646,"East Village","Manhattan"
"89",40.7674213694566,-73.9810554368179,"Marea","italian","$$$$",4,1894,"Midtown","Manhattan"
"90",40.79392,-73.93427,"Rao's","italian","$$$$",4.5,137,"East Harlem","Manhattan"
"91",40.7196979,-73.9951175,"Piacere","italian","$$",4,653,"Little Italy","Manhattan"
"92",40.72161,-74.00127,"Galli","italian","$$",4,839,"SoHo","Manhattan"
"93",40.75496,-73.99247,"Casa Nonna","italian","$$$",4,492,"Hell's Kitchen","Manhattan"
"94",40.75662,-73.9849,"Osteria Al Doge","italian","$$$",4,442,"Theater District","Manhattan"
"95",40.759426,-73.967063,"Amata","italian","$$$",4.5,72,"Midtown","Manhattan"
"96",40.80894,-73.94496,"Babbalucci","italian","$$",4,345,"Harlem","Manhattan"
"97",40.760868632784,-73.986348802868,"La Masseria","italian","$$$",4,550,"Theater District","Manhattan"
"98",40.719816,-73.997403,"La Bella Vita","italian","$$",4,331,"Little Italy","Manhattan"
"99",40.742664,-73.977783,"Lena's Italian Kitchen","italian","$$",4,119,"Kips Bay","Manhattan"
"100",40.73778,-74.00197,"Don Angie","italian","$$$",4.5,210,"West Village","Manhattan"
"101",40.7507476806641,-74.0030212402344,"Ovest Pizzoteca by Luzzo's","italian","$$",4,499,"Chelsea","Manhattan"
"102",40.76083,-73.98981,"Becco","italian","$$$",3.5,2676,"Hell's Kitchen","Manhattan"
"103",40.7644615,-73.9738617,"Ora di Pasta","italian","$$",4,168,"Midtown","Manhattan"
"104",40.7331,-74.00369,"Via Carota","italian","$$$",4,369,"West Village","Manhattan"
"105",40.7615509,-73.9906616,"B Squared","italian","$$",4.5,369,"Hell's Kitchen","Manhattan"
